	station id	stationname	date	daytype	rides	year	month	day	week_day
753795	40470	Racine	2009-08-15	A	1100	2009	8	15	Sat
753851	40470	Racine	2016-01-01	U	715	2016	1	1	Fri
753979	40470	Racine	2014-02-08	A	1199	2014	2	8	Sat
754047	40470	Racine	2009-06-28	U	780	2009	6	28	Sun
754091	40470	Racine	2016-04-27	W	2442	2016	4	27	Wed
754222	40470	Racine	2016-03-20	U	750	2016	3	20	Sun
754487	40470	Racine	2014-04-29	W	2740	2014	4	29	Tue
754562	40470	Racine	2004-09-03	W	1786	2004	9	3	Fri
754637	40470	Racine	2006-06-21	W	1692	2006	6	21	Wed
755091	40470	Racine	2016-01-13	W	2450	2016	1	13	Wed
755318	40470	Racine	2015-02-08	U	710	2015	2	8	Sun
755340	40470	Racine	2014-09-25	W	2886	2014	9	25	Thu
755352	40470	Racine	2006-08-21	W	1511	2006	8	21	Mon
755791	40470	Racine	2006-10-25	W	2521	2006	10	25	Wed
755792	40470	Racine	2011-06-23	W	1625	2011	6	23	Thu
756364	40470	Racine	2005-01-16	U	480	2005	1	16	Sun
756397	40470	Racine	2011-03-07	W	1465	2011	3	7	Mon
756470	40470	Racine	2015-05-05	W	2679	2015	5	5	Tue
756520	40470	Racine	2002-01-19	A	829	2002	1	19	Sat
756562	40470	Racine	2008-11-03	W	2531	2008	11	3	Mon
756605	40470	Racine	2011-07-31	U	749	2011	7	31	Sun
756658	40470	Racine	2010-03-23	W	2293	2010	3	23	Tue
756729	40470	Racine	2003-10-07	W	2801	2003	10	7	Tue
756773	40470	Racine	2006-12-01	W	2466	2006	12	1	Fri
756881	40470	Racine	2001-08-23	W	1888	2001	8	23	Thu
756978	40470	Racine	2008-01-23	W	2359	2008	1	23	Wed
756997	40470	Racine	2007-11-16	W	2577	2007	11	16	Fri
757021	40470	Racine	2003-02-11	W	2210	2003	2	11	Tue
757055	40470	Racine	2011-05-21	A	1332	2011	5	21	Sat
757218	40470	Racine	2009-11-01	U	354	2009	11	1	Sun
757391	40470	Racine	2011-10-17	W	2655	2011	10	17	Mon
757841	40470	Racine	2011-07-13	W	1999	2011	7	13	Wed
757865	40470	Racine	2004-01-20	W	2498	2004	1	20	Tue
757880	40470	Racine	2009-06-10	W	1566	2009	6	10	Wed
757984	40470	Racine	2010-02-06	A	786	2010	2	6	Sat
758119	40470	Racine	2008-07-15	W	1621	2008	7	15	Tue
758203	40470	Racine	2016-09-24	A	1147	2016	9	24	Sat
758357	40470	Racine	2002-07-26	W	1557	2002	7	26	Fri
758415	40470	Racine	2011-07-14	W	2006	2011	7	14	Thu
758568	40470	Racine	2013-06-08	A	1695	2013	6	8	Sat
758856	40470	Racine	2013-01-01	U	729	2013	1	1	Tue
758948	40470	Racine	2004-04-19	W	2451	2004	4	19	Mon
758987	40470	Racine	2006-01-31	W	2459	2006	1	31	Tue
758997	40470	Racine	2008-05-05	W	2307	2008	5	5	Mon
759045	40470	Racine	2006-08-26	A	1033	2006	8	26	Sat
759161	40470	Racine	2008-01-18	W	2322	2008	1	18	Fri
759250	40470	Racine	2009-08-04	W	1451	2009	8	4	Tue
759678	40470	Racine	2001-03-01	W	2244	2001	3	1	Thu
759759	40470	Racine	2003-06-22	U	619	2003	6	22	Sun
759780	40470	Racine	2014-07-16	W	2054	2014	7	16	Wed
759788	40470	Racine	2005-06-15	W	1728	2005	6	15	Wed
759825	40470	Racine	2006-02-15	W	2512	2006	2	15	Wed
759864	40470	Racine	2010-02-24	W	2360	2010	2	24	Wed
759887	40470	Racine	2001-12-09	U	531	2001	12	9	Sun
759898	40470	Racine	2009-06-12	W	2120	2009	6	12	Fri
759929	40470	Racine	2015-12-04	W	2863	2015	12	4	Fri
759942	40470	Racine	2004-08-14	A	852	2004	8	14	Sat
760363	40470	Racine	2015-02-03	W	2797	2015	2	3	Tue
760428	40470	Racine	2001-01-19	W	1610	2001	1	19	Fri
761029	40470	Racine	2015-07-17	W	2027	2015	7	17	Fri
761033	40470	Racine	2010-03-22	W	2170	2010	3	22	Mon
761278	40470	Racine	2008-03-18	W	1334	2008	3	18	Tue
761294	40470	Racine	2009-07-15	W	1554	2009	7	15	Wed
761320	40470	Racine	2016-05-11	W	2717	2016	5	11	Wed
761355	40470	Racine	2003-03-10	W	2202	2003	3	10	Mon
761433	40470	Racine	2008-05-14	W	2402	2008	5	14	Wed
761510	40470	Racine	2011-03-17	W	2652	2011	3	17	Thu
761650	40470	Racine	2002-09-10	W	2650	2002	9	10	Tue
761655	40470	Racine	2017-01-03	W	1330	2017	1	3	Tue
762023	40470	Racine	2009-05-31	U	593	2009	5	31	Sun
762151	40470	Racine	2016-08-07	U	638	2016	8	7	Sun
762163	40470	Racine	2016-01-04	W	2394	2016	1	4	Mon
762367	40470	Racine	2007-03-08	W	2471	2007	3	8	Thu
762741	40470	Racine	2011-07-07	W	1856	2011	7	7	Thu
762864	40470	Racine	2001-10-23	W	2608	2001	10	23	Tue
762891	40470	Racine	2017-09-22	W	2589	2017	9	22	Fri
763627	40470	Racine	2012-04-01	U	875	2012	4	1	Sun
763658	40470	Racine	2016-02-18	W	2625	2016	2	18	Thu
763666	40470	Racine	2016-02-05	W	1795	2016	2	5	Fri
763770	40470	Racine	2008-04-13	U	437	2008	4	13	Sun
763785	40470	Racine	2008-06-08	U	730	2008	6	8	Sun
763974	40470	Racine	2015-12-26	A	424	2015	12	26	Sat
764114	40470	Racine	2016-09-01	W	2103	2016	9	1	Thu
764278	40470	Racine	2017-09-10	U	760	2017	9	10	Sun
764305	40470	Racine	2010-09-11	A	1738	2010	9	11	Sat
764396	40470	Racine	2005-11-11	W	1760	2005	11	11	Fri
764466	40470	Racine	2004-01-13	W	2754	2004	1	13	Tue
764482	40470	Racine	2010-02-16	W	2373	2010	2	16	Tue
764589	40470	Racine	2014-10-15	W	2739	2014	10	15	Wed
764771	40470	Racine	2008-09-27	A	1002	2008	9	27	Sat
765060	40470	Racine	2005-04-26	W	2440	2005	4	26	Tue
765076	40470	Racine	2016-01-05	W	2517	2016	1	5	Tue
765111	40470	Racine	2010-04-18	U	599	2010	4	18	Sun
765780	40470	Racine	2008-11-13	W	1837	2008	11	13	Thu
765908	40470	Racine	2008-08-01	W	1746	2008	8	1	Fri
766228	40470	Racine	2009-01-20	W	3236	2009	1	20	Tue
766330	40470	Racine	2017-11-13	W	2709	2017	11	13	Mon
766503	40470	Racine	2003-08-24	U	515	2003	8	24	Sun
766765	40470	Racine	2003-09-01	U	455	2003	9	1	Mon
767117	40470	Racine	2006-10-14	A	1903	2006	10	14	Sat
767474	40470	Racine	2014-11-13	W	2025	2014	11	13	Thu
767522	40470	Racine	2015-11-28	A	707	2015	11	28	Sat
767744	40470	Racine	2001-02-19	W	1052	2001	2	19	Mon
767751	40470	Racine	2012-03-29	W	2532	2012	3	29	Thu
767887	40470	Racine	2004-08-22	U	712	2004	8	22	Sun
768368	40470	Racine	2008-04-07	W	2356	2008	4	7	Mon
768424	40470	Racine	2011-01-26	W	2166	2011	1	26	Wed
768447	40470	Racine	2009-10-26	W	2339	2009	10	26	Mon
768490	40470	Racine	2012-03-23	W	2665	2012	3	23	Fri
768568	40470	Racine	2005-10-01	A	1197	2005	10	1	Sat
768758	40470	Racine	2001-01-05	W	1510	2001	1	5	Fri
768815	40470	Racine	2013-06-16	U	1005	2013	6	16	Sun
768837	40470	Racine	2004-09-23	W	2678	2004	9	23	Thu
768864	40470	Racine	2010-11-20	A	1509	2010	11	20	Sat
768866	40470	Racine	2013-02-14	W	2670	2013	2	14	Thu
768950	40470	Racine	2001-02-25	U	383	2001	2	25	Sun
769068	40470	Racine	2012-01-12	W	2687	2012	1	12	Thu
769110	40470	Racine	2002-06-29	A	1019	2002	6	29	Sat
769150	40470	Racine	2008-01-05	A	545	2008	1	5	Sat
769166	40470	Racine	2013-07-17	W	1925	2013	7	17	Wed
769299	40470	Racine	2013-03-10	U	785	2013	3	10	Sun
769431	40470	Racine	2004-12-01	W	2580	2004	12	1	Wed
769597	40470	Racine	2006-12-18	W	2393	2006	12	18	Mon
769806	40470	Racine	2005-05-09	W	2493	2005	5	9	Mon
769908	40470	Racine	2001-06-30	A	1003	2001	6	30	Sat
769917	40470	Racine	2017-08-05	A	1034	2017	8	5	Sat
770212	40470	Racine	2008-10-15	W	2416	2008	10	15	Wed
